"學年度","學校代碼","學校名稱","日間∕進修別","等級別","總計","男生計","女生計","一年級男","一年級女","二年級男","二年級女","三年級男","三年級女","四年級男","四年級女","五年級男","五年級女","六年級男","六年級女","七年級男","七年級女","延修生男","延修生女","縣市名稱","體系別"
112,0001,國立政治大學,D 日,D 博士,921,517,404,86,69,78,60,82,69,74,67,63,52,68,37,66,50,0,0,30 臺北市,1 一般
112,0001,國立政治大學,D 日,M 碩士,4231,1835,2396,598,809,631,791,354,460,249,335,2,1,1,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,N 職,M 碩士,1903,938,965,262,304,289,287,204,225,106,92,77,57,0,0,0,0,0,0,30 臺北市,1 一般
112,0001,國立政治大學,D 日,B 學士,9763,3928,5835,906,1349,871,1379,907,1341,928,1267,0,0,0,0,0,0,316,499,30 臺北市,1 一般
112,0002,國立清華大學,D 日,D 博士,1636,1131,505,206,93,202,83,204,93,154,70,140,60,110,50,115,56,0,0,18 新竹市,1 一般
112,0002,國立清華大學,D 日,M 碩士,5867,3526,2341,1336,886,1357,796,581,402,246,239,4,15,2,3,0,0,0,0,18 新竹市,1 一般
112,0002,國立清華大學,N 職,M 碩士,1413,509,904,198,278,176,274,63,132,35,91,25,84,4,17,8,28,0,0,18 新竹市,1 一般
112,0002,國立清華大學,D 日,B 學士,9274,5038,4236,1217,1019,1216,1030,1224,975,1085,991,0,0,0,0,0,0,296,221,18 新竹市,1 一般
112,0002,國立清華大學,D 日,X 4+X,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
112,0003,國立臺灣大學,D 日,D 博士,3654,2454,1200,431,215,402,206,432,223,389,190,309,128,179,106,312,132,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,D 日,M 碩士,11328,6742,4586,2598,1747,2505,1687,1075,707,564,445,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,N 職,M 碩士,1577,948,629,309,229,300,219,160,82,70,38,45,32,64,29,0,0,0,0,30 臺北市,1 一般
112,0003,國立臺灣大學,D 日,B 學士,17323,9652,7671,2191,1706,2199,1783,2138,1663,1976,1649,175,144,172,93,0,0,801,633,30 臺北市,1 一般
112,0004,國立臺灣師範大學,D 日,D 博士,1337,630,707,106,127,109,111,110,106,74,106,85,83,59,85,87,89,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,D 日,M 碩士,4384,1878,2506,628,826,629,763,364,572,257,345,0,0,0,0,0,0,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,N 職,M 碩士,2272,680,1592,222,518,219,460,87,263,75,186,48,102,29,63,0,0,0,0,30 臺北市,3 師範
112,0004,國立臺灣師範大學,D 日,B 學士,8503,3846,4657,938,1110,900,1084,895,1073,809,1052,0,0,0,0,0,0,304,338,30 臺北市,3 師範
112,0005,國立成功大學,D 日,D 博士,1888,1228,660,219,136,199,102,221,123,196,110,176,84,107,57,110,48,0,0,21 臺南市,1 一般
112,0005,國立成功大學,D 日,M 碩士,7453,4739,2714,2009,1149,1931,1053,605,377,188,130,6,3,0,1,0,1,0,0,21 臺南市,1 一般
112,0005,國立成功大學,N 職,M 碩士,1582,932,650,279,240,274,212,209,122,106,44,63,32,0,0,1,0,0,0,21 臺南市,1 一般
112,0005,國立成功大學,D 日,B 學士,12159,7451,4708,1703,1165,1779,1105,1766,1064,1588,1029,112,84,62,34,0,0,441,227,21 臺南市,1 一般
112,0006,國立中興大學,D 日,D 博士,1000,652,348,96,59,101,56,108,65,99,40,84,43,70,33,94,52,0,0,19 臺中市,1 一般
112,0006,國立中興大學,D 日,M 碩士,3797,2242,1555,929,660,926,610,277,194,108,85,2,6,0,0,0,0,0,0,19 臺中市,1 一般
112,0006,國立中興大學,N 職,M 碩士,1794,1143,651,401,244,343,229,203,78,103,57,93,43,0,0,0,0,0,0,19 臺中市,1 一般
112,0006,國立中興大學,D 日,B 學士,8178,4621,3557,1108,835,1080,869,1132,872,1095,815,25,53,0,0,0,0,181,113,19 臺中市,1 一般
112,0006,國立中興大學,P 進,B 學士,828,369,459,79,102,78,119,80,106,77,93,42,34,0,0,0,0,13,5,19 臺中市,1 一般
112,0007,國立陽明交通大學,D 日,D 博士,2604,1772,832,331,148,284,156,295,137,236,129,221,114,173,62,232,86,0,0,18 新竹市,1 一般
112,0007,國立陽明交通大學,D 日,M 碩士,8275,5150,3125,1816,1200,1749,1111,1216,591,365,216,4,7,0,0,0,0,0,0,18 新竹市,1 一般
112,0007,國立陽明交通大學,N 職,M 碩士,1937,1210,727,386,262,347,244,226,99,145,73,106,49,0,0,0,0,0,0,18 新竹市,1 一般
112,0007,國立陽明交通大學,D 日,B 學士,8612,5528,3084,1330,666,1200,708,1250,681,1221,687,142,131,153,91,7,2,225,118,18 新竹市,1 一般
112,0008,國立中央大學,D 日,D 博士,937,637,300,117,55,107,58,105,50,104,39,68,32,64,28,72,38,0,0,03 桃園市,1 一般
112,0008,國立中央大學,D 日,M 碩士,3770,2490,1280,1048,546,975,498,363,158,101,74,3,4,0,0,0,0,0,0,03 桃園市,1 一般
112,0008,國立中央大學,N 職,M 碩士,1516,919,597,326,249,315,220,150,73,73,32,51,21,4,2,0,0,0,0,03 桃園市,1 一般
112,0008,國立中央大學,D 日,B 學士,6274,3852,2422,938,609,957,564,956,565,867,589,0,0,0,0,0,0,134,95,03 桃園市,1 一般
112,0009,國立中山大學,D 日,D 博士,839,520,319,105,73,93,56,100,58,75,47,60,35,46,33,41,17,0,0,50 高雄市,1 一般
112,0009,國立中山大學,D 日,M 碩士,3415,2085,1330,838,531,781,506,343,215,123,77,0,1,0,0,0,0,0,0,50 高雄市,1 一般
112,0009,國立中山大學,N 職,M 碩士,1052,510,542,202,179,175,185,52,92,35,39,34,30,12,17,0,0,0,0,50 高雄市,1 一般
112,0009,國立中山大學,D 日,B 學士,5040,3051,1989,741,480,727,488,718,467,687,436,0,0,0,0,0,0,178,118,50 高雄市,1 一般
112,0012,國立臺灣海洋大學,D 日,D 博士,327,229,98,43,22,28,13,31,17,32,14,37,13,20,8,38,11,0,0,17 基隆市,1 一般
112,0012,國立臺灣海洋大學,D 日,M 碩士,1591,1044,547,464,251,390,179,105,56,55,36,20,17,10,6,0,2,0,0,17 基隆市,1 一般
112,0012,國立臺灣海洋大學,N 職,M 碩士,634,363,271,114,92,125,97,66,35,29,22,20,15,6,6,3,4,0,0,17 基隆市,1 一般
112,0012,國立臺灣海洋大學,D 日,B 學士,6111,4176,1935,1016,464,1005,461,981,491,965,459,0,0,0,0,0,0,209,60,17 基隆市,1 一般
112,0012,國立臺灣海洋大學,P 進,B 學士,551,380,171,122,40,138,52,44,23,51,45,0,0,0,0,0,0,25,11,17 基隆市,1 一般
112,0013,國立中正大學,D 日,D 博士,537,332,205,58,34,56,37,50,33,41,27,51,35,35,16,41,23,0,0,10 嘉義縣,1 一般
112,0013,國立中正大學,D 日,M 碩士,2882,1672,1210,704,456,625,450,225,192,115,108,3,4,0,0,0,0,0,0,10 嘉義縣,1 一般
112,0013,國立中正大學,N 職,M 碩士,1468,600,868,192,304,186,275,100,132,77,99,45,58,0,0,0,0,0,0,10 嘉義縣,1 一般
112,0013,國立中正大學,D 日,B 學士,6653,3555,3098,839,754,884,786,882,754,802,713,0,0,0,0,0,0,148,91,10 嘉義縣,1 一般
112,0014,國立高雄師範大學,D 日,D 博士,422,204,218,37,41,27,40,31,31,25,28,22,27,25,20,37,31,0,0,50 高雄市,3 師範
112,0014,國立高雄師範大學,D 日,M 碩士,1566,567,999,193,313,146,278,116,192,77,143,21,46,8,17,6,10,0,0,50 高雄市,3 師範
112,0014,國立高雄師範大學,N 職,M 碩士,1420,496,924,171,331,141,234,89,175,49,76,19,61,27,47,0,0,0,0,50 高雄市,3 師範
112,0014,國立高雄師範大學,D 日,B 學士,3988,1945,2043,453,498,482,468,463,470,436,506,0,0,0,0,0,0,111,101,50 高雄市,3 師範
112,0015,國立彰化師範大學,D 日,D 博士,475,273,202,47,33,43,30,36,35,49,25,31,26,33,25,34,28,0,0,07 彰化縣,3 師範
112,0015,國立彰化師範大學,D 日,M 碩士,1721,882,839,349,295,287,266,150,147,94,119,1,2,1,10,0,0,0,0,07 彰化縣,3 師範
112,0015,國立彰化師範大學,N 職,M 碩士,1371,540,831,208,262,185,231,51,107,38,83,27,69,31,79,0,0,0,0,07 彰化縣,3 師範
112,0015,國立彰化師範大學,D 日,B 學士,5044,2698,2346,639,606,669,563,622,576,636,534,0,0,0,0,0,0,132,67,07 彰化縣,3 師範
112,0017,國立臺北大學,D 日,D 博士,195,135,60,19,13,19,8,21,6,27,17,27,7,9,4,13,5,0,0,01 新北市,1 一般
112,0017,國立臺北大學,D 日,M 碩士,1505,753,752,268,275,263,270,124,128,95,76,3,3,0,0,0,0,0,0,01 新北市,1 一般
112,0017,國立臺北大學,N 職,M 碩士,631,283,348,115,122,103,122,31,61,25,25,9,18,0,0,0,0,0,0,01 新北市,1 一般
112,0017,國立臺北大學,D 日,B 學士,6000,2732,3268,649,844,652,756,680,767,646,763,0,0,0,0,0,0,105,138,01 新北市,1 一般
112,0017,國立臺北大學,P 進,B 學士,1874,811,1063,224,241,192,247,174,267,164,243,0,0,0,0,0,0,57,65,01 新北市,1 一般
112,0018,國立嘉義大學,D 日,D 博士,184,108,76,21,14,17,15,18,11,13,13,17,9,10,3,12,11,0,0,20 嘉義市,1 一般
112,0018,國立嘉義大學,D 日,M 碩士,1259,576,683,215,246,161,212,121,128,79,97,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
112,0018,國立嘉義大學,N 職,M 碩士,921,367,554,144,182,98,145,54,111,71,116,0,0,0,0,0,0,0,0,20 嘉義市,1 一般
112,0018,國立嘉義大學,D 日,B 學士,7527,3869,3658,959,962,943,852,903,921,934,843,22,21,0,0,0,0,108,59,20 嘉義市,1 一般
112,0018,國立嘉義大學,P 進,B 學士,1691,1056,635,260,139,239,153,240,155,235,151,0,0,0,0,0,0,82,37,20 嘉義市,1 一般
112,0019,國立高雄大學,D 日,D 博士,31,26,5,5,3,4,0,4,0,4,2,6,0,2,0,1,0,0,0,50 高雄市,1 一般
112,0019,國立高雄大學,D 日,M 碩士,726,477,249,186,93,157,96,87,35,47,25,0,0,0,0,0,0,0,0,50 高雄市,1 一般
112,0019,國立高雄大學,N 職,M 碩士,548,335,213,98,78,97,50,65,47,31,18,26,10,18,10,0,0,0,0,50 高雄市,1 一般
112,0019,國立高雄大學,D 日,B 學士,4718,2743,1975,687,494,637,462,642,462,622,474,16,15,0,0,0,0,139,68,50 高雄市,1 一般
112,0019,國立高雄大學,N 修,C 二技,122,56,66,0,0,0,0,28,25,14,18,0,0,0,0,0,0,14,23,50 高雄市,2 技職
112,0020,國立東華大學,D 日,D 博士,412,233,179,45,27,34,37,40,35,32,25,31,17,16,17,35,21,0,0,15 花蓮縣,1 一般
112,0020,國立東華大學,D 日,M 碩士,1451,688,763,254,231,200,241,131,145,79,106,8,21,16,19,0,0,0,0,15 花蓮縣,1 一般
112,0020,國立東華大學,N 職,M 碩士,512,186,326,51,86,50,97,33,58,30,41,10,24,12,20,0,0,0,0,15 花蓮縣,1 一般
112,0020,國立東華大學,D 日,B 學士,7975,3825,4150,950,986,870,958,892,992,831,970,0,0,0,0,0,0,282,244,15 花蓮縣,1 一般
112,0021,國立暨南國際大學,D 日,D 博士,346,179,167,30,18,30,38,33,27,23,22,16,24,21,18,26,20,0,0,08 南投縣,1 一般
112,0021,國立暨南國際大學,D 日,M 碩士,882,392,490,151,148,130,157,56,91,45,71,5,13,5,10,0,0,0,0,08 南投縣,1 一般
112,0021,國立暨南國際大學,N 職,M 碩士,526,180,346,65,116,60,105,21,56,16,39,11,12,7,18,0,0,0,0,08 南投縣,1 一般
112,0021,國立暨南國際大學,D 日,B 學士,4802,2337,2465,577,638,582,584,577,616,503,551,0,0,0,0,0,0,98,76,08 南投縣,1 一般
112,0022,國立臺灣科技大學,D 日,D 博士,1084,782,302,188,78,177,66,147,61,99,42,75,23,47,14,49,18,0,0,30 臺北市,2 技職
112,0022,國立臺灣科技大學,D 日,M 碩士,4134,2815,1319,1246,612,1223,529,264,137,82,41,0,0,0,0,0,0,0,0,30 臺北市,2 技職
112,0022,國立臺灣科技大學,N 職,M 碩士,861,538,323,217,134,211,128,60,40,47,20,2,1,1,0,0,0,0,0,30 臺北市,2 技職
112,0022,國立臺灣科技大學,D 日,B 四技,5545,3891,1654,941,416,968,388,918,402,921,394,0,0,0,0,0,0,143,54,30 臺北市,2 技職
112,0022,國立臺灣科技大學,D 日,C 二技,48,4,44,0,0,0,0,1,20,1,17,0,0,0,0,0,0,2,7,30 臺北市,2 技職
112,0023,國立雲林科技大學,D 日,D 博士,425,264,161,49,33,48,27,47,24,48,30,26,15,24,14,22,18,0,0,09 雲林縣,2 技職
112,0023,國立雲林科技大學,D 日,M 碩士,2144,1362,782,601,315,522,305,188,121,51,41,0,0,0,0,0,0,0,0,09 雲林縣,2 技職
112,0023,國立雲林科技大學,N 職,M 碩士,800,461,339,155,132,167,139,74,34,42,21,23,13,0,0,0,0,0,0,09 雲林縣,2 技職
112,0023,國立雲林科技大學,D 日,B 四技,6531,4042,2489,1057,653,937,611,960,566,943,568,0,0,0,0,0,0,145,91,09 雲林縣,2 技職
112,0023,國立雲林科技大學,N 修,B 四技,248,119,129,35,24,24,33,37,34,21,33,0,0,0,0,0,0,2,5,09 雲林縣,2 技職
112,0023,國立雲林科技大學,D 日,C 二技,190,84,106,0,0,0,0,37,48,39,51,0,0,0,0,0,0,8,7,09 雲林縣,2 技職
112,0024,國立屏東科技大學,D 日,D 博士,245,161,84,33,13,26,13,27,22,22,11,16,12,15,4,22,9,0,0,13 屏東縣,2 技職
112,0024,國立屏東科技大學,D 日,M 碩士,1130,645,485,272,205,238,178,89,73,38,25,5,2,3,2,0,0,0,0,13 屏東縣,2 技職
112,0024,國立屏東科技大學,N 職,M 碩士,243,148,95,64,35,55,43,15,9,7,3,7,4,0,1,0,0,0,0,13 屏東縣,2 技職
112,0024,國立屏東科技大學,D 日,B 四技,7562,4184,3378,1024,805,989,792,978,797,928,824,22,46,0,0,0,0,243,114,13 屏東縣,2 技職
112,0024,國立屏東科技大學,N 修,B 四技,1214,823,391,199,76,163,73,203,110,198,103,0,0,0,0,0,0,60,29,13 屏東縣,2 技職
112,0025,國立臺北科技大學,D 日,D 博士,754,558,196,87,29,100,42,100,38,72,30,60,18,56,13,83,26,0,0,30 臺北市,2 技職
112,0025,國立臺北科技大學,D 日,M 碩士,3558,2535,1023,1060,402,1081,447,287,118,107,56,0,0,0,0,0,0,0,0,30 臺北市,2 技職
112,0025,國立臺北科技大學,N 職,M 碩士,1604,1110,494,339,172,397,183,182,75,122,38,34,15,34,11,2,0,0,0,30 臺北市,2 技職
112,0025,國立臺北科技大學,D 日,B 四技,6371,4444,1927,1079,499,1035,485,1077,438,1072,416,0,0,0,0,0,0,181,89,30 臺北市,2 技職
112,0025,國立臺北科技大學,N 修,B 四技,1197,984,213,161,38,191,31,241,60,337,70,0,0,0,0,0,0,54,14,30 臺北市,2 技職
112,0025,國立臺北科技大學,D 日,C 二技,22,13,9,0,0,0,0,4,2,4,5,0,0,0,0,0,0,5,2,30 臺北市,2 技職
112,0025,國立臺北科技大學,D 日,5 五專,153,126,27,26,6,28,6,22,3,26,4,21,7,0,0,0,0,3,1,30 臺北市,2 技職
112,0028,國立臺北藝術大學,D 日,D 博士,118,46,72,7,16,8,5,9,8,7,8,10,17,3,11,2,7,0,0,30 臺北市,1 一般
112,0028,國立臺北藝術大學,D 日,M 碩士,1022,378,644,107,168,105,188,89,162,77,126,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0028,國立臺北藝術大學,N 職,M 碩士,193,64,129,17,40,19,31,12,25,8,18,8,15,0,0,0,0,0,0,30 臺北市,1 一般
112,0028,國立臺北藝術大學,D 日,B 學士,1797,661,1136,152,258,143,249,135,255,137,242,0,0,0,0,0,0,94,132,30 臺北市,1 一般
112,0028,國立臺北藝術大學,D 日,5 七年,83,39,44,14,15,12,14,13,15,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
112,0029,國立臺灣藝術大學,D 日,D 博士,158,82,76,15,12,22,12,18,13,7,13,8,13,7,9,5,4,0,0,01 新北市,1 一般
112,0029,國立臺灣藝術大學,D 日,M 碩士,792,281,511,82,161,75,135,67,137,57,78,0,0,0,0,0,0,0,0,01 新北市,1 一般
112,0029,國立臺灣藝術大學,N 職,M 碩士,391,159,232,41,58,38,52,26,64,27,32,17,18,10,8,0,0,0,0,01 新北市,1 一般
112,0029,國立臺灣藝術大學,D 日,B 學士,2407,681,1726,162,423,150,422,156,365,146,367,0,0,0,0,0,0,67,149,01 新北市,1 一般
112,0029,國立臺灣藝術大學,P 進,B 學士,1515,477,1038,102,245,111,227,102,256,103,221,0,0,0,0,0,0,59,89,01 新北市,1 一般
112,0029,國立臺灣藝術大學,N 修,C 二技,329,77,252,0,0,0,0,28,113,35,106,0,0,0,0,0,0,14,33,01 新北市,2 技職
112,0030,國立臺東大學,D 日,D 博士,50,23,27,9,2,2,7,2,5,5,3,2,1,0,7,3,2,0,0,14 臺東縣,1 一般
112,0030,國立臺東大學,D 日,M 碩士,371,138,233,54,82,38,58,30,58,12,27,4,8,0,0,0,0,0,0,14 臺東縣,1 一般
112,0030,國立臺東大學,N 職,M 碩士,664,182,482,74,153,35,152,32,73,21,46,13,34,4,13,3,11,0,0,14 臺東縣,1 一般
112,0030,國立臺東大學,D 日,B 學士,3674,1857,1817,503,464,411,383,424,449,426,434,0,0,0,0,0,0,93,87,14 臺東縣,1 一般
112,0030,國立臺東大學,P 進,B 學士,246,103,143,24,54,19,27,31,24,18,31,0,0,0,0,0,0,11,7,14 臺東縣,1 一般
112,0030,國立臺東大學,N 修,C 二技,116,39,77,0,0,0,0,16,38,18,36,0,0,0,0,0,0,5,3,14 臺東縣,2 技職
112,0031,國立宜蘭大學,D 日,D 博士,16,10,6,1,2,1,1,4,1,0,0,3,1,1,1,0,0,0,0,02 宜蘭縣,1 一般
112,0031,國立宜蘭大學,D 日,M 碩士,546,358,188,144,86,131,66,61,24,21,10,1,1,0,1,0,0,0,0,02 宜蘭縣,1 一般
112,0031,國立宜蘭大學,N 職,M 碩士,171,116,55,37,18,43,25,18,6,7,1,7,1,4,4,0,0,0,0,02 宜蘭縣,1 一般
112,0031,國立宜蘭大學,D 日,B 學士,4478,2866,1612,724,385,678,406,732,410,612,370,0,0,0,0,0,0,120,41,02 宜蘭縣,1 一般
112,0031,國立宜蘭大學,P 進,B 學士,381,252,129,56,36,66,24,66,25,49,35,0,0,0,0,0,0,15,9,02 宜蘭縣,1 一般
112,0032,國立聯合大學,D 日,D 博士,21,17,4,4,1,1,2,4,0,2,1,4,0,1,0,1,0,0,0,05 苗栗縣,1 一般
112,0032,國立聯合大學,D 日,M 碩士,442,308,134,144,70,106,33,42,17,14,14,1,0,1,0,0,0,0,0,05 苗栗縣,1 一般
112,0032,國立聯合大學,N 職,M 碩士,49,31,18,21,8,9,10,0,0,0,0,1,0,0,0,0,0,0,0,05 苗栗縣,1 一般
112,0032,國立聯合大學,D 日,B 學士,6179,4324,1855,1082,457,1050,438,1022,462,960,469,18,10,0,0,0,0,192,19,05 苗栗縣,1 一般
112,0032,國立聯合大學,P 進,B 學士,1020,758,262,225,57,189,62,149,65,125,58,0,0,0,0,0,0,70,20,05 苗栗縣,1 一般
112,0033,國立虎尾科技大學,D 日,D 博士,53,44,9,9,2,6,4,6,2,11,1,5,0,3,0,4,0,0,0,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,D 日,M 碩士,1041,856,185,411,82,338,84,86,15,21,4,0,0,0,0,0,0,0,0,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,N 職,M 碩士,197,133,64,48,36,39,22,26,3,16,2,4,1,0,0,0,0,0,0,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,D 日,B 四技,7502,5734,1768,1451,473,1452,401,1364,436,1283,429,0,0,0,0,0,0,184,29,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,N 修,B 四技,2056,1700,356,474,95,392,80,418,85,336,83,0,0,0,0,0,0,80,13,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,D 日,C 二技,238,190,48,0,0,0,0,90,20,88,26,0,0,0,0,0,0,12,2,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,N 修,C 二技,170,122,48,0,0,0,0,68,25,51,21,0,0,0,0,0,0,3,2,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,D 日,2 二專,78,77,1,37,0,29,1,0,0,0,0,0,0,0,0,0,0,11,0,09 雲林縣,2 技職
112,0033,國立虎尾科技大學,D 日,5 五專,358,308,50,76,13,69,14,57,10,70,9,30,4,0,0,0,0,6,0,09 雲林縣,2 技職
112,0035,國立臺南藝術大學,D 日,D 博士,67,26,41,3,10,2,11,8,7,4,6,3,2,3,2,3,3,0,0,11 臺南市,1 一般
112,0035,國立臺南藝術大學,D 日,M 碩士,553,203,350,53,94,56,82,57,87,36,85,0,0,1,1,0,1,0,0,11 臺南市,1 一般
112,0035,國立臺南藝術大學,N 職,M 碩士,54,11,43,1,14,2,11,4,6,2,3,0,3,1,2,1,4,0,0,11 臺南市,1 一般
112,0035,國立臺南藝術大學,D 日,B 學士,802,280,522,76,120,68,115,63,111,45,133,0,0,0,0,0,0,28,43,11 臺南市,1 一般
